,mass,coupling
0,0.01,7.240554931776496e-07
1,0.01071086147696473,7.356422544596422e-07
2,0.011837972451195685,7.556720048371041e-07
3,0.012856598713735911,7.762471166286927e-07
4,0.013777393613247988,7.973824387000412e-07
5,0.014609964995036941,8.190932242152968e-07
6,0.015362982698242149,8.413951416451948e-07
7,0.016044262662591582,8.643042860748356e-07
8,0.01666085897475622,8.878371908193646e-07
9,0.017219133271275007,9.120108393559096e-07
10,0.01772482314724131,9.368426775803963e-07
11,0.01818310629957824,9.623506263980887e-07
12,0.018598652555628238,9.885530946569391e-07
13,0.01897585312782206,1.0154689924330806e-06
14,0.01931847566475118,1.0431177446780528e-06
15,0.019629810202336128,1.071519305237607e-06
16,0.019912942535842693,1.1006941712522102e-06
17,0.02,1.1101861409047622e-06
18,0.02057743379089859,1.1306633979496376e-06
19,0.021367396817137792,1.1614486138403415e-06
20,0.02208251168639936,1.1930720363265323e-06
21,0.022730120174934434,1.225556487736279e-06
22,0.023316842794327417,1.2589254117941661e-06
23,0.023848657640195003,1.293202890540412e-06
24,0.02433095467055747,1.3284136617106502e-06
25,0.024768602017100672,1.3645831365889239e-06
26,0.025,1.3853371399493374e-06
27,0.025380095421133265,1.4017374183467696e-06
28,0.02620458470955181,1.4399033208816327e-06
29,0.026951076595998227,1.479108388168207e-06
30,0.027627224724161573,1.519380914136663e-06
31,0.028239929924667867,1.5607499630921113e-06
32,0.02879542300689773,1.6032453906900418e-06
33,0.02929932290285337,1.646897865482869e-06
34,0.029756701621104845,1.69173889105314e-06
35,0.03,1.7176308096630355e-06
36,0.030553511871326516,1.7378008287493763e-06
37,0.03176372398847291,1.7851169210409536e-06
38,0.03285903339665827,1.8337213155088837e-06
39,0.03385067207043973,1.883649089489802e-06
40,0.03474877968577918,1.9349362753909543e-06
41,0.03556250445994613,1.987619886694447e-06
42,0.036302963562321156,2.0417379446695316e-06
43,0.036975253343712475,2.097329505812199e-06
44,0.03758518847121192,2.1544346900318865e-06
45,0.038138836435692235,2.213094709605641e-06
46,0.0386416787400574,2.2733518989206337e-06
47,0.03909866892329082,2.335249745026492e-06
48,0.03951427803004315,2.3988329190194897e-06
49,0.039892548249689526,2.4641473082812814e-06
50,0.04,2.483728351294972e-06
51,0.04084569794182214,2.531240049595363e-06
52,0.0419605009480911,2.6001595631652723e-06
53,0.04297132921058635,2.6709555875589853e-06
54,0.043888314556841536,2.7436792156047813e-06
55,0.044720605508510966,2.818382931264455e-06
56,0.045,2.8450497911591564e-06
57,0.046002508333323214,2.8951206475105017e-06
58,0.047444902753716614,2.9739477452346077e-06
59,0.0487531496572307,3.0549211132155153e-06
60,0.04994032974921981,3.138099189175122e-06
61,0.05,3.142417287822621e-06
62,0.05195317163160912,3.2235420019524593e-06
63,0.05382818453949413,3.3113112148259077e-06
64,0.05499999999999999,3.3715217072425147e-06
65,0.055866467186123515,3.4014701700150327e-06
66,0.05839217496443672,3.4940839343940627e-06
67,0.06,3.5589004901746758e-06
68,0.060956771557253,3.5892193464500497e-06
69,0.06386719513183968,3.6869450645195736e-06
70,0.06650697262387364,3.787331616338823e-06
71,0.067,3.806984351660213e-06
72,0.06967381153738461,3.890451449942805e-06
73,0.0727269953539833,3.99637898595041e-06
74,0.07549668391673026,4.105190671273079e-06
75,0.0780103976359999,4.216965034285822e-06
76,0.08,4.315778796224471e-06
77,0.08043100191671236,4.331782741500416e-06
78,0.08347904213243731,4.449726655781663e-06
79,0.08624529611212894,4.570881896148752e-06
80,0.08875706101499599,4.695335899204856e-06
81,0.09,4.761964334592381e-06
82,0.0914633534241157,4.823178482239309e-06
83,0.09438156178069744,4.954501908047905e-06
84,0.09703958024257014,5.089400951518094e-06
85,0.0994602412310649,5.227972968027129e-06
86,0.1,5.260433201551923e-06
87,0.10287614145133661,5.370317963702533e-06
88,0.10633709244599562,5.516538667595586e-06
89,0.10948137651399226,5.6667406058199195e-06
90,0.11233910107988404,5.821032177708722e-06
91,0.11493752120846815,5.979524734045527e-06
92,0.11730127477537912,6.1423326574250325e-06
93,0.11945269226542984,6.309573444801943e-06
94,0.12,6.35439178922298e-06
95,0.12254127212117141,6.481367792287428e-06
96,0.12574753305884614,6.657839682254362e-06
97,0.12866304620288535,6.8391164728142925e-06
98,0.13,6.928603623766002e-06
99,0.13186896540492105,7.025328989730521e-06
100,0.1352954353286688,7.216611620833884e-06
101,0.13841112620201343,7.413102413009177e-06
102,0.14,7.521558525135575e-06
103,0.1417476524891788,7.614943171822305e-06
104,0.14536364619672854,7.82227956386003e-06
105,0.148651500990385,8.035261221856176e-06
106,0.15,8.128857945281447e-06
107,0.15229792346158202,8.25404185268019e-06
108,0.1561024392951812,8.478779348265931e-06
109,0.15956189401418802,8.709635899560797e-06
110,0.16,8.740084322998165e-06
111,0.16379444400447835,8.946778113577481e-06
112,0.16780192953161047,9.190377133632585e-06
113,0.17,9.335656378673205e-06
114,0.17200968913089543,9.440608762859225e-06
115,0.17661324387331878,9.697653591082486e-06
116,0.18,9.90737917572927e-06
117,0.18109170940517072,9.961697125149406e-06
118,0.18630701014865383,1.0232929922807536e-05
119,0.19,1.0445017278413976e-05
120,0.19141124703529172,1.0511547730228686e-05
121,0.19718833714653125,1.0797751623277093e-05
122,0.2,1.094817656817672e-05
123,0.203556387766969,1.109174815262401e-05
124,0.21051257519116343,1.1393749492813369e-05
125,0.21684241104775875,1.1703973595386185e-05
126,0.22,1.1871260543949566e-05
127,0.22359162415779812,1.2022644346174132e-05
128,0.22999999999999998,1.2309525929784915e-05
129,0.23096829004347003,1.2349991726875853e-05
130,0.23870453182244514,1.26862519810326e-05
131,0.24,1.274514024083826e-05
132,0.24652987936838727,1.3031667784523e-05
133,0.25,1.3192551304897264e-05
134,0.25443116519293985,1.3386488420699942e-05
135,0.26213389846360147,1.3750969960296055e-05
136,0.2691469472988923,1.4125375446227555e-05
137,0.27,1.4172795033735005e-05
138,0.27629286630624705,1.4509975083429865e-05
139,0.28,1.4722474605242587e-05
140,0.2831523720801754,1.4905046433861974e-05
141,0.28968448292346066,1.531087461682032e-05
142,0.29,1.533114927772568e-05
143,0.2961154091565155,1.5727752514706693e-05
144,0.3,1.6001723352006133e-05
145,0.30216427144570474,1.615598098439876e-05
146,0.3079701551830212,1.6595869074375632e-05
147,0.31,1.6759713739530802e-05
148,0.3136636154859456,1.7047734247755256e-05
149,0.3190782492282226,1.75119026114046e-05
150,0.3240104260054515,1.798870915128791e-05
151,0.3285047834773318,1.8478497974222908e-05
152,0.33,1.8651807956788176e-05
153,0.33304218263350666,1.8981622556219613e-05
154,0.337406657156106,1.9498445997580456e-05
155,0.3413888138601502,2.0029341284946502e-05
156,0.34510926144365595,2.05746915604784e-05
157,0.3485058577647537,2.1134890398366476e-05
158,0.35,2.1399046376040083e-05
159,0.3517976941192967,2.171034208886956e-05
160,0.35496328040429626,2.2301461930087465e-05
161,0.357852582314245,2.290867652767775e-05
162,0.36,2.3407610317596715e-05
163,0.3605264062691589,2.3532424102733036e-05
164,0.36311037922827694,2.4173154808041014e-05
165,0.36546835804681976,2.483133105295568e-05
166,0.3676206319793965,2.5507427837113564e-05
167,0.36958569426682675,2.6201933093236722e-05
168,0.37,2.6355412012692715e-05
169,0.37144470632564797,2.691534803926914e-05
170,0.3731583849646273,2.7648187540101057e-05
171,0.37472189461423894,2.8400980479142137e-05
172,0.3761486952601075,2.917427014001166e-05
173,0.3774510462779961,2.996861459862124e-05
174,0.3786401163900873,3.078458712593299e-05
175,0.3797260769895812,3.1622776601683795e-05
176,0.38,3.184527813023312e-05
177,0.3806665728967943,3.248378793937432e-05
178,0.3815057132299846,3.3368242522829425e-05
179,0.38227013982890523,3.427677865464505e-05
180,0.3829665429667965,3.521005201684521e-05
181,0.38360101295686067,3.616873614408161e-05
182,0.38417909473058265,3.715352290971728e-05
183,0.38470583692904625,3.8165123025145096e-05
184,0.3851858356274055,3.9204266552701555e-05
185,0.38562327432086607,4.027170343254595e-05
186,0.38602196253792165,4.1368204023885115e-05
187,0.38638536634133414,4.24945596609345e-05
188,0.3867166422087453,4.3651583224016654e-05
189,0.38701866320475764,4.484010972620934e-05
190,0.3872940435317512,4.606099691596667e-05
191,0.3875451639228231,4.7315125896148124e-05
192,0.38777418908198874,4.860340175990226e-05
193,0.3879830913637702,4.992675424386394e-05
194,0.38817987175811475,5.128613839913648e-05
195,0.3883598831099084,5.26825352805435e-05
196,0.3885242454447437,5.4116952654646367e-05
197,0.3886743210923562,5.559042572704037e-05
198,0.3888113538330963,5.710401788945271e-05
199,0.3889364791870149,5.8658821487182444e-05
200,0.3890507346438311,6.0255958607435806e-05
201,0.38915506776600106,6.18965818891261e-05
202,0.38925034388412955,6.358187535472236e-05
203,0.3893373531730496,6.531305526474729e-05
204,0.3894168176424354,6.709137099554105e-05
205,0.38948939594159865,6.891810594092489e-05
206,0.3895556899213154,7.079457843841373e-05
207,0.3896162490707454,7.272214272064852e-05
208,0.3896715747998118,7.470218989273312e-05
209,0.38972212489230323,7.673614893618186e-05
210,0.3897683173507173,7.88254877402021e-05
211,0.38981053327956194,8.097171416105617e-05
212,0.38984912048633547,8.317637711026709e-05
213,0.3898843964322488,8.544106767245351e-05
214,0.3899166503961154,8.776742025360064e-05
215,0.3899461461715025,9.015711376059571e-05
216,0.3899731244603473,9.261187281287937e-05
217,0.38999780416314145,9.513346898708745e-05
218,0.39,9.5365740562218e-05
219,0.39917050641999935,9.772372209558111e-05
220,0.4,9.794256318088908e-05
221,0.4085453436881387,0.00010038450149978858
222,0.4099999999999999,0.00010081252468045607
223,0.4172719268487579,0.00010311772745930559
224,0.42527142827409053,0.00010592537251772897
225,0.43,0.00010772915089997086
226,0.4326393362649042,0.00010880946292622274
227,0.43946224725054017,0.00011177208010584467
228,0.4456982039783858,0.0001148153621496884
229,0.45,0.0001171203145436468
230,0.45046516035957274,0.00011794150536592519
231,0.4521948337242996,0.000121152765862859
232,0.45377157579439664,0.00012445146117713845
233,0.4552088582996916,0.0001278399719463023
234,0.45651896980837603,0.00013132074362686195
235,0.457713123306812,0.00013489628825916533
236,0.45880154262785555,0.00013856918628031274
237,0.4597935583384529,0.00014234208838643416
238,0.46069768135710887,0.00014621771744567183
239,0.4615216765661804,0.00015019887046324872
240,0.46227262368183364,0.00015428842060004103
241,0.4629569841619118,0.00015848931924611142
242,0.46358064977590185,0.00016280459815069974
243,0.4641489967226638,0.000167237371610208
244,0.46466692518757546,0.00017179083871575893
245,0.4651389059741508,0.00017646828566195014
246,0.46556901563738723,0.00018127308811847006
247,0.4659609717089262,0.00018620871366628695
248,0.4663181642046312,0.0001912787243001699
249,0.46664368223066405,0.000196486778999347
250,0.4669408454475185,0.00020183663636815638
251,0.467212625920867,0.0002073321573485954
252,0.4674603584409815,0.00021297730800672805
253,0.46768617415386254,0.00021877616239495518
254,0.46789201696623683,0.00022473290549222168
255,0.46807965892190473,0.00023085183622427617
256,0.4682507151875098,0.00023713737056616554
257,0.4684066598505965,0.0002435940447292027
258,0.46854883506356404,0.000250226518434708
259,0.46867846569113536,0.0002570395782768865
260,0.46879666723498453,0.0002640381411772678
261,0.4689044567815617,0.000271227257933203
262,0.4690027613369518,0.0002786121168629772
263,0.46909242503664644,0.0002861980475501708
264,0.46917421751491917,0.0002939905246899698
265,0.4692488399328456,0.0003019951720402019
266,0.4693169308006845,0.0003102177664799505
267,0.4693790716449435,0.0003186642421786735
268,0.46943579254411755,0.0003273406948788386
269,0.4694875757522289,0.0003362533862951632
270,0.46953486088345464,0.0003454087486336344
271,0.4695780478587577,0.0003548133892335753
272,0.469617500942731,0.00036447409533609524
273,0.4696535516890313,0.0003743978389823811
274,0.46968650206975393,0.00038459178204535354
275,0.469716626724131,0.0003950632813983238
276,0.4697441758209535,0.0004058198942243799
277,0.4697693767672235,0.0004168693834703355
278,0.4697924367786174,0.00042821972344917554
279,0.46981354418847276,0.00043987910559504346
280,0.46983287042005883,0.00045185594437492264
281,0.4698505713326096,0.0004641588833612782
282,0.4698667887811773,0.00047679680147004276
283,0.4698816516363077,0.0004897788193684466
284,0.4698952785803763,0.0005031143060573182
285,0.46990778658946064,0.0005168128856326041
286,0.4699192732308878,0.000530884444230989
287,0.46992982785329274,0.0005453391371646284
288,0.46993953171293545,0.0005601873962501419
289,0.4699484587093179,0.0005754399373371566
290,0.4699566760557979,0.0005911077680418404
291,0.4699642449070407,0.0006072021956909884
292,0.4699712208317314,0.0006237348354824192
293,0.469977654353247,0.0006407176188675537
294,0.4699835913894843,0.0006581628021622322
295,0.46998907365923037,0.0006760829753919819
296,0.4699941390400403,0.0006944910713781214
297,0.4699988219121696,0.0007134003750712565
298,0.47,0.0007183747239759087
299,0.49,0.0007186649404038405
300,0.5,0.0007188692775740964
301,0.52,0.0007193777291613189
302,0.54,0.0007199065042684922
303,0.57,0.000720942584996128
304,0.6,0.0007219029344006928
305,0.65,0.0007232860579682776
306,0.7,0.0007250600781673799
307,0.75,0.000727217745029128
308,0.8,0.0007302753390660104
309,0.8409032834984589,0.0007328245331389044
310,0.85,0.0007333676173793225
311,0.9,0.0007371826985000564
312,0.95,0.0007428235301111463
313,1.0,0.0007501417807448685
314,1.0098656211565475,0.0007527775638141667
315,1.08334549162965,0.0007732738670125565
316,1.1502247209129222,0.0007943282347242822
317,1.2111025892526932,0.0008159558616894897
318,1.2665240926443504,0.0008381723563641631
319,1.3,0.0008528597925684994
320,1.3079518932979841,0.0008609937521846015
321,1.3295337972506287,0.0008844365191386008
322,1.3492841230499963,0.0009085175756516881
323,1.3673615809128525,0.0009332543007969926
324,1.3839109961053928,0.0009586645468375569
325,1.3990646139657759,0.0009847666521101577
326,1.413015903551162,0.0010115794542598982
327,1.4259158630931994,0.001039122303835169
328,1.4377711593088707,0.0010674150782527558
329,1.448669976516109,0.0010964781961431851
330,1.4586928794635132,0.0011263326320866585
331,1.4679136183040629,0.0011569999317502114
332,1.4763996450010166,0.001188502227437019
333,1.4842127285482727,0.0012208622540590718
334,1.4914094818983357,0.0012541033655447502
335,1.4980417772007804,0.001288249551693135
336,1.5,0.0012988593753957697
